No	Quote
1	3cs for Success - Commitment, Concentration, Competence.
2	A man of words and not of deeds, is like garden full of weeds.
3	A thousand mile trip Starts with one step.
4	Always fill yourself with positive thoughts.
5	Aman of words and not of deeds, is like garden full weeds.
6	Ants are good citizens - they place group interest first - Choreau.
7	Appreciation is a perfect gift for any occasion.
8	Change yourself to change the world.
9	Colours are the smiles of nature - Leigh Hunt
10	Connectivity is strength. Connectivity is wealth. Connectivity is progress.
11	Dare to dream Care to achieve.
12	Do something to make this planet a better place.
13	Don't find a fault find a remedy.
14	"Don't waste time for inspiration.
Begin!
Inspiration will find you!"
15	Dream! Dream! Dream! Dreams transform into thoughts And thoughts result in action.
16	Each day is a new adventure to dream, search & discover.
17	Earth provides everything enough for every man's need but not every man's greed.
18	Education is a vaccine for violence.
19	Enlightened leadership is all about empowerment.
20	Enthusiasm is Caught not taught.
21	Every day is a new opportunity to learn and grow. - Germany Kent
22	Every mind is creative Every mind is inquisitive.
23	Excellence is exceeding all expectations.
24	"Forget not the goal Leave not the way.
Lose not the heart."
25	Friendship flows in two directions: you must give as well as receive.
26	God gave us green Let's keep it clean.
27	Good deeds comeback to us in the form of good friends.
28	Good things come to those who wait. Better things come to those who try.
29	Good to forgive! Best to forget!
30	Have a purpose Worth living for.
31	He who has firm will moulds the world himself.
32	"He who knows how to obey knows how to command.
- Swamy Vivekananda"
33	"I hear, I forget
I see, I remember
I do, I understand"
34	If you want to be happy and successful in life, never stop learning.
35	If you've experienced the dark, you can better appreciate the light.
36	"Invest in your children.
Give them your time, Your attention, your love.
They are the future."
37	It is a greater compliment to be trusted than to be loved.
38	Kind words can be shorts & easy to speak but their echoes are truely endless.
39	Language is the dress of our thought.
40	Leadership isn't about being the best; it's about bringing out the best in others.
41	Light gives sight! Learning gives insight!
42	Light up your own life by lighting up another.
43	Nature gives us enough to our need but not to our greed.
44	Never Leave a true relation for few faults. Nobody is perfect.
45	None of us is As strong as all of us!
46	Nothing great was ever achieved by only sitting still.
47	Obedience is the mother of success!
48	Once taught, children become conscience keepers.
49	Orderliness adds gree to life!
50	Patience is the key to Paradise.
51	Peace is our dream We work as team.
52	Plant kindness Harvest Love.
53	Politeness is the fragrance of humanity.
54	"Problems are common But attitude makes the difference.
----- Dr. Kalam"
